Word Trial.ID list wordNeighbour N zipf.wordNeighbour len.wordNeighbour bigram.zipf.wordNeighbour old20.wordNeighbour old1.wordNeighbour bigram.zipf.novelWord old20.novelWord old1.novelWord len.novelWord pos_deviation levDistToWordNeigh baseWord Blocco Subject Age Gender Handedness Session List Data OraStart TrialCount rt Resp Acc learning lexicality Index
collepio 11013 A collegio 1 3.686467568 8 6.82 1.75 1 6.81 2.1 1 8 final 1 yes 1 4 22 Male Right Morning A 2018-09-19 13:50:24 6 1021 2 1 un novelword 2
cortario 22037 B NA NA NA NA NA NA NA 7.03 1.85 1 8 NA NA no 1 11 25 Male Right Morning B 2018-11-02 13:41:00 6 1263 2 1 un novelword 1
igiana 21019 B iguana 1 2.81931216 6 6.8 1.9 1 6.95 1.9 1 6 middle 1 yes 1 7 21 Male Right Morning B 2018-10-08 13:50:59 6 716 2 1 un novelword 1
mastenza 12043 A NA NA NA NA NA NA NA 6.9 2.25 2 8 NA NA no 1 20 32 Female Right Morning A 2018-12-03 13:26:00 6 1428 2 1 un novelword 1
osbrica 11023 A ostrica 0 2.942971678 7 6.98 1.95 1 6.86 2.2 1 7 middle 1 yes 1 14 22 Female Right Morning A 2018-11-12 13:44:47 6 1441 1 0 un novelword 1
tulifano 21029 B tulipano 1 2.614169104 8 6.83 2.45 1 6.79 2.4 1 8 middle 1 yes 1 3 25 Female Right Morning B 2018-09-19 09:54:40 6 1569 1 0 un novelword 1
alcodi NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 1 28 Male Right Morning B 2018-09-04 10:04:35 6 1240 2 0 un NA 1
amorce NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 23 32 Female Right Morning B 2019-01-08 13:42:19 6 1209 1 1 un NA 1
ardalli NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 17 24 Male Right Morning B 2018-11-15 14:10:31 6 962 1 1 un NA 1
malludi NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 26 27 Female Right Morning A 2019-01-21 10:01:44 6 864 1 1 un NA 1
osalei NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 8 24 Female Right Morning A 2018-10-16 13:48:31 6 967 1 1 un NA 1
